model,retriever,language,setting_id,dev_reference_variant,devtest_reference_variant,variant,comet22,qe
bloomz-7b1-mt,bm25,eng_Latn-hau_Latn,bloomz-7b1-mt|bm25|eng_Latn-hau_Latn,original,original,Odev/Odevtest,0.5166547941301651,0.3678825484375237
bloomz-7b1-mt,bm25,eng_Latn-hau_Latn,bloomz-7b1-mt|bm25|eng_Latn-hau_Latn,original,revised_keep_higher,Odev/Rdevtest,0.5160622235402288,0.3678825484375237
bloomz-7b1-mt,bm25,eng_Latn-hau_Latn,bloomz-7b1-mt|bm25|eng_Latn-hau_Latn,revised_keep_higher,original,Rdev/Odevtest,0.5206496912706275,0.3680139909325381
bloomz-7b1-mt,bm25,eng_Latn-hau_Latn,bloomz-7b1-mt|bm25|eng_Latn-hau_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.5202510522258847,0.3680139909325381
bloomz-7b1-mt,bm25,eng_Latn-plt_Latn,bloomz-7b1-mt|bm25|eng_Latn-plt_Latn,original,original,Odev/Odevtest,0.5088910750691363,0.3672696166182224
bloomz-7b1-mt,bm25,eng_Latn-plt_Latn,bloomz-7b1-mt|bm25|eng_Latn-plt_Latn,original,revised_keep_higher,Odev/Rdevtest,0.5083442287364968,0.3672696166182224
bloomz-7b1-mt,bm25,eng_Latn-plt_Latn,bloomz-7b1-mt|bm25|eng_Latn-plt_Latn,revised_keep_higher,original,Rdev/Odevtest,0.5123829885787172,0.3681753068985675
bloomz-7b1-mt,bm25,eng_Latn-plt_Latn,bloomz-7b1-mt|bm25|eng_Latn-plt_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.5121091779159463,0.3681753068985675
bloomz-7b1-mt,bm25,eng_Latn-som_Latn,bloomz-7b1-mt|bm25|eng_Latn-som_Latn,original,original,Odev/Odevtest,0.5218761954088456,0.385407544260204
bloomz-7b1-mt,bm25,eng_Latn-som_Latn,bloomz-7b1-mt|bm25|eng_Latn-som_Latn,original,revised_keep_higher,Odev/Rdevtest,0.5204182534143623,0.385407544260204
bloomz-7b1-mt,bm25,eng_Latn-som_Latn,bloomz-7b1-mt|bm25|eng_Latn-som_Latn,revised_keep_higher,original,Rdev/Odevtest,0.5270494013259062,0.3895645398101788
bloomz-7b1-mt,bm25,eng_Latn-som_Latn,bloomz-7b1-mt|bm25|eng_Latn-som_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.5264176304779741,0.3895645398101788
bloomz-7b1-mt,bm25,eng_Latn-swh_Latn,bloomz-7b1-mt|bm25|eng_Latn-swh_Latn,original,original,Odev/Odevtest,0.8114393496584044,0.7640763326536997
bloomz-7b1-mt,bm25,eng_Latn-swh_Latn,bloomz-7b1-mt|bm25|eng_Latn-swh_Latn,original,revised_keep_higher,Odev/Rdevtest,0.812736439816801,0.7640763326536997
bloomz-7b1-mt,bm25,eng_Latn-swh_Latn,bloomz-7b1-mt|bm25|eng_Latn-swh_Latn,revised_keep_higher,original,Rdev/Odevtest,0.8114990327256941,0.7647947105376617
bloomz-7b1-mt,bm25,eng_Latn-swh_Latn,bloomz-7b1-mt|bm25|eng_Latn-swh_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.8131709986406824,0.7647947105376617
bloomz-7b1-mt,bm25,eng_Latn-xho_Latn,bloomz-7b1-mt|bm25|eng_Latn-xho_Latn,original,original,Odev/Odevtest,0.5378424746127939,0.4216891959191782
