split,language,n_all,bottom20_n,kept_original_n,original_fullset_xcomet_x100,full_delta_retranslated_x100,full_delta_keep_higher_x100
dev,eng_Latn-hau_Latn,997,199,20,61.55081803769381,4.871791117677956,4.985702880018334
dev,eng_Latn-plt_Latn,997,199,31,55.37102630169485,3.4150390584047945,3.5694214673255114
dev,eng_Latn-som_Latn,997,199,9,55.348215554817514,7.381385824864463,7.4148203224810585
dev,eng_Latn-swh_Latn,997,199,18,77.77748919926293,4.6377488063534384,4.794778953583812
dev,eng_Latn-xho_Latn,997,199,26,46.63113088850511,3.0023638424328123,3.0838450433736817
devtest,eng_Latn-hau_Latn,1012,202,13,58.94503454298605,5.687186444406453,5.75148140047143
devtest,eng_Latn-plt_Latn,1012,202,25,54.04477885191737,3.4229251640764167,3.5202502342964364
devtest,eng_Latn-som_Latn,1012,202,3,51.9862003271052,7.703399075114209,7.722010909627548
devtest,eng_Latn-swh_Latn,1012,202,20,75.43978097116052,4.785835626627147,4.905434257604861
devtest,eng_Latn-xho_Latn,1012,202,24,44.02426459307491,3.5944708604586455,3.6550825940290457
dev,all_low_resource,4985,995,104,59.335735996394845,4.661665729946693,4.76971373335648
devtest,all_low_resource,5060,1010,85,56.88801185724881,5.038763434136573,5.110851879205864
